EPOCHS,MODEL,CUSTOM EMBEDDING,OPTIM,OUTPUT_SIZE,BATCH_SIZE,ACC_TRAIN,ACC_TEST,ERROR_TRAIN,ERROR_TEST
6,RNN,False,"ADAM,0.0001",16,50,83.75675678253174,78.87272834777832,0.39137372374534607,0.47277551889419556
7,RNN,False,"ADAM,0.0001",16,50,84.2612624168396,78.48636507987976,0.3842231333255768,0.4827677607536316
8,RNN,False,"ADAM,0.0001",16,50,84.51351523399353,78.48636507987976,0.3776252269744873,0.4963834583759308
9,RNN,False,"ADAM,0.0001",16,50,84.70720648765564,78.972727060318,0.3745846748352051,0.48204851150512695
10,RNN,False,"ADAM,0.0001",16,50,85.00900864601135,78.82272601127625,0.36929190158843994,0.483022540807724
1,RNN,False,"ADAM,0.0001",16,100,51.977479457855225,52.72272825241089,0.6916826367378235,0.6904913187026978
2,RNN,False,"ADAM,0.0001",16,100,64.73873853683472,74.0045428276062,0.619098424911499,0.5385394096374512
3,RNN,False,"ADAM,0.0001",16,100,79.37837839126587,78.1181812286377,0.4605831205844879,0.48382243514060974
4,RNN,False,"ADAM,0.0001",16,100,81.8648636341095,78.65909337997437,0.4242279529571533,0.47651252150535583
5,RNN,False,"ADAM,0.0001",16,100,83.16216468811035,78.37727069854736,0.4049815237522125,0.48139992356300354
6,RNN,False,"ADAM,0.0001",16,100,83.51351618766785,78.57727408409119,0.39642420411109924,0.48136281967163086
7,RNN,False,"ADAM,0.0001",16,100,84.16666388511658,78.71363759040833,0.38765138387680054,0.4818766415119171
8,RNN,False,"ADAM,0.0001",16,100,84.56756472587585,78.71363759040833,0.38171619176864624,0.4824783205986023
9,RNN,False,"ADAM,0.0001",16,100,84.90540385246277,78.6227285861969,0.376335084438324,0.48860377073287964
10,RNN,False,"ADAM,0.0001",16,100,85.29279232025146,78.58181595802307,0.3720242977142334,0.5003008842468262
1,RNN,False,"ADAM,0.0001",32,50,52.14414596557617,53.94999980926514,0.6916239261627197,0.6883297562599182
2,RNN,False,"ADAM,0.0001",32,50,72.55855798721313,77.76363492012024,0.5421146154403687,0.4853275716304779
3,RNN,False,"ADAM,0.0001",32,50,81.09459280967712,78.71363759040833,0.43111491203308105,0.469219833612442
4,RNN,False,"ADAM,0.0001",32,50,82.8153133392334,79.00909185409546,0.40486565232276917,0.47061413526535034
5,RNN,False,"ADAM,0.0001",32,50,83.59909653663635,78.55908870697021,0.39180639386177063,0.4911973774433136
6,RNN,False,"ADAM,0.0001",32,50,84.05855894088745,77.82727479934692,0.38281750679016113,0.47910115122795105
7,RNN,False,"ADAM,0.0001",32,50,84.53603386878967,78.38181853294373,0.3740472197532654,0.4702622592449188
8,RNN,False,"ADAM,0.0001",32,50,84.72522497177124,78.58181595802307,0.37163615226745605,0.4737362265586853
9,RNN,False,"ADAM,0.0001",32,50,85.04955172538757,78.96817922592163,0.366066575050354,0.4792887270450592
10,RNN,False,"ADAM,0.0001",32,50,85.2837860584259,78.39090824127197,0.36169207096099854,0.4771445095539093
1,RNN,False,"ADAM,0.0001",32,100,52.171170711517334,53.73636484146118,0.691636860370636,0.6895434856414795
2,RNN,False,"ADAM,0.0001",32,100,70.20720839500427,77.71363854408264,0.5676851868629456,0.4856938421726227
3,RNN,False,"ADAM,0.0001",32,100,80.63964247703552,78.76818180084229,0.43542012572288513,0.46854260563850403
4,RNN,False,"ADAM,0.0001",32,100,82.7792763710022,78.94999980926514,0.40509042143821716,0.4639202058315277
5,RNN,False,"ADAM,0.0001",32,100,83.48197937011719,78.97727489471436,0.38904091715812683,0.4805842936038971
6,RNN,False,"ADAM,0.0001",32,100,84.29279327392578,79.02272939682007,0.3801288306713104,0.48651668429374695
7,RNN,False,"ADAM,0.0001",32,100,84.53153371810913,79.03181910514832,0.3747454583644867,0.47540831565856934
8,RNN,False,"ADAM,0.0001",32,100,84.8963975906372,79.12272810935974,0.36792585253715515,0.47777050733566284
9,RNN,False,"ADAM,0.0001",32,100,85.36036014556885,79.21363711357117,0.361693799495697,0.47446614503860474
10,RNN,False,"ADAM,0.0001",32,100,85.35135388374329,78.91363501548767,0.35966017842292786,0.4788692593574524
1,LSTM,True,"ADAM,0.001",16,50,51.62612795829773,52.590906620025635,0.692598819732666,0.6914086937904358
2,LSTM,True,"ADAM,0.001",16,50,61.53603792190552,66.48181676864624,0.6510883569717407,0.6150358319282532
3,LSTM,True,"ADAM,0.001",16,50,69.7702705860138,70.65454721450806,0.5819895267486572,0.5623286962509155
4,LSTM,True,"ADAM,0.001",16,50,74.76576566696167,73.32272529602051,0.513481080532074,0.5290669202804565
5,LSTM,True,"ADAM,0.001",16,50,77.2702693939209,75.02727508544922,0.4713495373725891,0.5054795145988464
6,LSTM,True,"ADAM,0.001",16,50,79.13063168525696,75.66817998886108,0.4428684711456299,0.49748143553733826
7,LSTM,True,"ADAM,0.001",16,50,80.29729723930359,74.97727274894714,0.4223635792732239,0.5098350644111633
8,LSTM,True,"ADAM,0.001",16,50,81.25225305557251,75.9954571723938,0.4076940715312958,0.4951142966747284
9,LSTM,True,"ADAM,0.001",16,50,82.39189386367798,76.36818289756775,0.38947051763534546,0.5111169815063477
10,LSTM,True,"ADAM,0.001",16,50,83.05855989456177,76.09545588493347,0.37619999051094055,0.5127733945846558
11,LSTM,True,"ADAM,0.001",16,50,84.02252197265625,76.49545669555664,0.36286038160324097,0.5216171145439148
12,LSTM,True,"ADAM,0.001",16,50,84.40540432929993,75.48636198043823,0.35053232312202454,0.5424748659133911
